region,income_group,demo_group,demo_subgroup,has_account,borrowed_any,biz_loan_source,biz_loan,loan_purpose_group,loan_purpose,saved_for_purchase,saved_no_purpose,digital_payment_other,mobile_payment_bill,govt_digital_pay_acc,digital_pay,digital_pay_acc,govt_payment_recv,prefer_digital_fin,prefer_digital,saved_any,region_cleaned,biz_loan_source_missing,biz_loan_missing,loan_purpose_group_missing,loan_purpose_missing,saved_for_purchase_missing,saved_no_purpose_missing,digital_payment_other_missing,mobile_payment_bill_missing,govt_digital_pay_acc_missing,digital_pay_missing,digital_pay_acc_missing,govt_payment_recv_missing,prefer_digital_fin_missing,prefer_digital_missing
Sub-Saharan Africa (excluding high income),Low income,all,all,0.0723798460936825,0.0,0.0330660962333304,0.0330660962333304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sub-Saharan Africa,0,0,1,1,1,1,1,1,1,1,1,1,1,1
East Asia & Pacific (excluding high income),Lower middle income,all,all,0.0365971165444537,0.0,0.0080870823533957,0.0080870823533957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,East Asia & Pacific,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.148096124143559,0.0,0.0994099465541843,0.0994099465541843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sub-Saharan Africa,0,0,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,all,all,0.958046424525372,0.0,0.532030785190891,0.532030785190891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Sub-Saharan Africa (excluding high income),Low income,all,all,0.0330080913421627,0.0,0.0247453909775814,0.0247453909775814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sub-Saharan Africa,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Sub-Saharan Africa (excluding high income),Low income,all,all,0.0895974560162476,0.0,0.0683930456657733,0.0683930456657733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sub-Saharan Africa,0,0,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,all,all,0.421792854983892,0.0,0.124167452865345,0.124167452865345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,0,0,1,1,1,1,1,1,1,1,1,1,1,1
East Asia & Pacific (excluding high income),Upper middle income,all,all,0.638173128563221,0.0,0.320894212251223,0.320894212251223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,East Asia & Pacific,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.304278010167618,0.0,0.0920452971172897,0.0920452971172897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Latin America & Caribbean,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.216946740447008,0.0,0.107650463852356,0.107650463852356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sub-Saharan Africa,0,0,1,1,1,1,1,1,1,1,1,1,1,1
