region,income_group,demo_group,demo_subgroup,has_account,borrowed_any,biz_loan_source,biz_loan,loan_purpose_group,loan_purpose,saved_for_purchase,saved_no_purpose,digital_payment_other,mobile_payment_bill,govt_digital_pay_acc,digital_pay,digital_pay_acc,govt_payment_recv,prefer_digital_fin,prefer_digital,saved_any,region_cleaned,biz_loan_source_missing,biz_loan_missing,loan_purpose_group_missing,loan_purpose_missing,saved_for_purchase_missing,saved_no_purpose_missing,digital_payment_other_missing,mobile_payment_bill_missing,govt_digital_pay_acc_missing,digital_pay_missing,digital_pay_acc_missing,govt_payment_recv_missing,prefer_digital_fin_missing,prefer_digital_missing
Sub-Saharan Africa (excluding high income),Lower middle income,gender,men,0.496024719511375,0.710127648790537,0.276890712047671,0.207458887427961,0.146420116522972,0.0,0.910952075140276,0.0890479248597237,0.488801101162798,0.303489585811137,0.0,0.184600025010394,0.0,0.0,0.0,0.175672050370368,0.533670238075578,Sub-Saharan Africa,0,0,0,1,0,0,0,0,1,0,1,1,1,0
Sub-Saharan Africa (excluding high income),Lower middle income,gender,women,0.418394427057053,0.656573675500656,0.136620745263599,0.103948179523343,0.0720022699812927,0.0,0.842219762829582,0.1577802371704182,0.502476682274279,0.379271612516695,0.0,0.0593975802647814,0.0,0.0,0.0,0.112997691748657,0.364068294067228,Sub-Saharan Africa,0,0,0,1,0,0,0,0,1,0,1,1,1,0
Sub-Saharan Africa (excluding high income),Low income,gender,men,0.445944458590314,0.7335771121885,0.329520981487453,0.0,0.0,0.0,0.931808591996093,0.0,0.153230738437112,0.0843146647547146,0.0,0.302966986668634,0.0,0.0,0.0,0.0,0.608477524859502,Sub-Saharan Africa,0,1,1,1,0,1,0,0,1,0,1,1,1,1
Sub-Saharan Africa (excluding high income),Low income,gender,women,0.334561427829617,0.678530786233034,0.199084121808612,0.0,0.0,0.0,0.885658645300756,0.0,0.18472725082141,0.1428643033454,0.0,0.130153733011343,0.0,0.0,0.0,0.0,0.548752896042769,Sub-Saharan Africa,0,1,1,1,0,1,0,0,1,0,1,1,1,1
Sub-Saharan Africa (excluding high income),Lower middle income,gender,men,0.605586391455265,0.681522825716049,0.356364848554605,0.0,0.0,0.0,0.94416958663288,0.0,0.213875707222712,0.14532564294849,0.0,0.18369085532981,0.0,0.0,0.0,0.0,0.562791438992328,Sub-Saharan Africa,0,1,1,1,0,1,0,0,1,0,1,1,1,1
Sub-Saharan Africa (excluding high income),Lower middle income,gender,women,0.505916393453064,0.611931428431628,0.215752662579447,0.0,0.0,0.0,0.901690358294726,0.0,0.196275249596858,0.152172267358041,0.0,0.0796428874881683,0.0,0.0,0.0,0.0,0.513008640836069,Sub-Saharan Africa,0,1,1,1,0,1,0,0,1,0,1,1,1,1
Latin America & Caribbean (excluding high income),Upper middle income,gender,men,0.745207849178286,0.389778742792951,0.393419613232625,0.393419613232625,0.149633708419163,0.149633708419163,0.892801520706317,0.1071984792936833,0.578205265019017,0.241309892320876,0.264042100211451,0.4305592030608,0.336083740977714,0.333806479688278,0.167520428812211,0.239674439715299,0.570679150296781,Latin America & Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latin America & Caribbean (excluding high income),Upper middle income,gender,women,0.682829497651369,0.365071256317132,0.30686796530184,0.30686796530184,0.135285117597074,0.135285117597074,0.822577628665183,0.1774223713348164,0.586565648715076,0.293329960559064,0.131057043047298,0.227593362511155,0.186578366111422,0.175741765654838,0.193622378352747,0.260717039183501,0.456702146886229,Latin America & Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sub-Saharan Africa (excluding high income),Lower middle income,gender,men,0.612027446506055,0.667363747252633,0.410174479672034,0.0,0.0,0.0,0.894357681940813,0.1056423180591874,0.425892774227546,0.132673577591303,0.0,0.27370219754574,0.0,0.0,0.0,0.0,0.646342505920496,Sub-Saharan Africa,0,1,1,1,0,0,0,0,1,0,1,1,1,1
Sub-Saharan Africa (excluding high income),Lower middle income,gender,women,0.538175498364075,0.671845818444234,0.301018066804159,0.0,0.0,0.0,0.870662283292377,0.1293377167076237,0.20854885981588,0.0795432275486679,0.0,0.13042176641603,0.0,0.0,0.0,0.0,0.639468605994166,Sub-Saharan Africa,0,1,1,1,0,0,0,0,1,0,1,1,1,1
High income,High income,gender,men,0.932809278566284,0.533713149579938,0.498500293719492,0.498500293719492,0.398515748441973,0.398515748441973,0.865822856970334,0.1341771430296656,0.608450637034533,0.0,0.36327987960826,0.514329773887145,0.497188397423254,0.482672273775597,0.443284628814467,0.475104478882452,0.680961825405872,High income countries,0,0,0,0,0,0,0,1,0,0,0,0,0,0
High income,High income,gender,women,0.920623021221886,0.521342222762349,0.420860845780771,0.420860845780771,0.35893588848537,0.35893588848537,0.85643240725377,0.1435675927462297,0.581506577114504,0.0,0.333765413445646,0.476238159609415,0.455883517339647,0.443120881628996,0.446100627449206,0.500739502889071,0.627788825406728,High income countries,0,0,0,0,0,0,0,1,0,0,0,0,0,0
High income,High income,gender,men,0.942661652599799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,1,1,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,gender,women,0.98030865941963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,1,1,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,gender,men,0.949873961522011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,1,1,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,gender,women,0.896799815747657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,1,1,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,gender,men,0.991898637549239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,1,1,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,gender,women,0.981098068895589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Latin America & Caribbean (excluding high income),Upper middle income,gender,men,0.682420115558674,0.678038243752162,0.356481795910928,0.332987195694988,0.33960067476842,0.330804900718943,0.932438478885144,0.0,0.581038724485866,0.325799079646262,0.140925490725618,0.35332649377225,0.246103284212518,0.223334983124046,0.131048979588666,0.307198554025687,0.581674356894626,Latin America & Caribbean,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Latin America & Caribbean (excluding high income),Upper middle income,gender,women,0.614376464055556,0.599031974268047,0.230219345409696,0.215137152523668,0.247878351104101,0.24335295303022,0.892230557064475,0.0,0.534267581160416,0.383440939068758,0.111906900997478,0.29394775480162,0.19439255817713,0.189234767608452,0.217053595838257,0.355034702882815,0.463048181352455,Latin America & Caribbean,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Latin America & Caribbean (excluding high income),Upper middle income,gender,men,0.655985687316865,0.522236397368238,0.289215979572617,0.282297672419639,0.211303136762443,0.209934956832737,0.955311680351292,0.0,0.627194108840175,0.346618049374612,0.169131176162245,0.300939854566217,0.216704203157997,0.204487375009312,0.0,0.104491686691346,0.429852938957938,Latin America & Caribbean,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Latin America & Caribbean (excluding high income),Upper middle income,gender,women,0.635126837380937,0.440795689261691,0.163494943123496,0.163494943123496,0.116270560681234,0.116270560681234,0.903219432789164,0.0,0.659190302738683,0.502691231286509,0.100736111434158,0.196526862619528,0.130073981641119,0.119093488235597,0.0,0.106750709595986,0.304825844605223,Latin America & Caribbean,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Middle East & North Africa (excluding high income),Lower middle income,gender,men,0.459509692862618,0.543228232555749,0.192411113149202,0.0,0.0903458552877628,0.0,0.790846836239372,0.2091531637606278,0.578385232469917,0.536323002758251,0.0,0.57483431071005,0.0,0.0,0.144770424783321,0.175335348714333,0.293949609087674,Middle East & North Africa,0,1,0,1,0,0,0,0,1,0,1,1,0,0
Middle East & North Africa (excluding high income),Lower middle income,gender,women,0.402142182329493,0.578900313890659,0.0821241198751477,0.0,0.118646854239434,0.0,0.724464885036106,0.2755351149638936,0.450078403977452,0.431490652498459,0.0,0.131619026702308,0.0,0.0,0.192114302295105,0.228235658467904,0.164734789465289,Middle East & North Africa,0,1,0,1,0,0,0,0,1,0,1,1,0,0
Latin America & Caribbean (excluding high income),Lower middle income,gender,men,0.54692513354909,0.398998921179559,0.22196651287794,0.19811401835996,0.137711796715309,0.134411533225622,0.907964964603373,0.0920350353966268,0.59851226608585,0.424124276673334,0.0,0.287744841424376,0.130869840300215,0.122538940861429,0.0,0.213300946092062,0.480841103490897,Latin America & Caribbean,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Latin America & Caribbean (excluding high income),Lower middle income,gender,women,0.344359210784078,0.362818526965845,0.0682229664293182,0.0638120637781884,0.0966294571827866,0.0966294571827866,0.874620699016953,0.1253793009830476,0.66837000506347,0.531547676613179,0.0,0.1529284374686,0.0932994736238098,0.0883917944824199,0.0,0.184498269504015,0.344518144990005,Latin America & Caribbean,0,0,0,0,0,0,0,0,1,0,0,0,1,0
High income,High income,gender,men,0.979279393113948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,1,1,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,gender,women,0.997660187107038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sub-Saharan Africa (excluding high income),Lower middle income,gender,men,0.64809563032207,0.705433258922202,0.313958825611177,0.13683120292905,0.274624793155731,0.0,0.77004108610733,0.22995891389267,0.422494825041303,0.0,0.197426348900002,0.370773953707876,0.27306743204365,0.193863142431552,0.111113731875661,0.295289215974831,0.565397108838812,Sub-Saharan Africa,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Sub-Saharan Africa (excluding high income),Lower middle income,gender,women,0.653509471878412,0.707422365989026,0.293334026809213,0.151247221536239,0.204788869847872,0.0,0.674041672793651,0.325958327206349,0.457853599759335,0.0,0.116470779574309,0.257266438769532,0.163899990856504,0.115601435575796,0.0978880378871149,0.289390879538058,0.596521651730064,Sub-Saharan Africa,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Sub-Saharan Africa (excluding high income),Low income,gender,men,0.565265673875994,0.545507228490091,0.30588856534447,0.29588086610618,0.0,0.0,0.873798320052548,0.1262016799474515,0.230787132105216,0.166929283607614,0.0,0.0,0.0,0.0,0.0,0.0,0.488458683692612,Sub-Saharan Africa,0,0,1,1,0,0,0,0,1,1,1,1,1,1
Sub-Saharan Africa (excluding high income),Low income,gender,women,0.416159713320994,0.528356184983053,0.212840309249499,0.208883054647618,0.0,0.0,0.846396889565937,0.1536031104340625,0.295226570576769,0.22646890794597,0.0,0.0,0.0,0.0,0.0,0.0,0.492894381054523,Sub-Saharan Africa,0,0,1,1,0,0,0,0,1,1,1,1,1,1
High income,High income,gender,men,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,1,1,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,gender,women,0.996891240901934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,1,1,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,gender,men,0.984892614438192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,1,1,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,gender,women,0.99848494933374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sub-Saharan Africa (excluding high income),Upper middle income,gender,men,0.72417329210808,0.633689655047467,0.421022348328924,0.149471259369298,0.0,0.0,0.919380061018688,0.0,0.417936222792804,0.105590883235117,0.0,0.365258917475757,0.180343958125746,0.0,0.0,0.159492736475649,0.673266070919994,Sub-Saharan Africa,0,0,1,1,0,1,0,0,1,0,0,1,1,0
Sub-Saharan Africa (excluding high income),Upper middle income,gender,women,0.637213310835604,0.548246782036958,0.358589518209197,0.063302397977472,0.0,0.0,0.908581993117961,0.0,0.382745358907253,0.135353264856621,0.0,0.221188075528141,0.0710641758857573,0.0,0.0,0.090530060338526,0.72198491673724,Sub-Saharan Africa,0,0,1,1,0,1,0,0,1,0,0,1,1,0
Sub-Saharan Africa (excluding high income),Low income,gender,men,0.417268890189075,0.574810433199597,0.265099379283966,0.220487480015465,0.0,0.0,0.854308956109742,0.1456910438902582,0.281791811147709,0.172156459070058,0.0,0.163320730964429,0.0,0.0,0.0,0.0,0.522707951965732,Sub-Saharan Africa,0,0,1,1,0,0,0,0,1,0,1,1,1,1
Sub-Saharan Africa (excluding high income),Low income,gender,women,0.348624918566457,0.576229048329782,0.231675382243676,0.182297744227195,0.0,0.0,0.886585750636104,0.1134142493638959,0.225320116409399,0.107815388518012,0.0,0.0852981020648581,0.0,0.0,0.0,0.0,0.602928344176605,Sub-Saharan Africa,0,0,1,1,0,0,0,0,1,0,1,1,1,1
Europe & Central Asia (excluding high income),Upper middle income,gender,men,0.759235668308751,0.607077098736047,0.188674567610041,0.188674567610041,0.223801702494256,0.223801702494256,0.879905187169418,0.1200948128305819,0.579700349836255,0.205574812586102,0.238538787453198,0.507600272540018,0.370932641153218,0.344963138046627,0.244966419973839,0.398049901398064,0.358782561203982,Europe & Central Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Europe & Central Asia (excluding high income),Upper middle income,gender,women,0.812949686953077,0.566135936659171,0.185421139377581,0.185421139377581,0.261396947059387,0.261396947059387,0.863658324651381,0.1363416753486191,0.571254069301837,0.159994879855307,0.10125505098069,0.333455469404399,0.273049830197702,0.259840467270591,0.351510277726222,0.504102018348438,0.365042492200047,Europe & Central Asia,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High income,High income,gender,men,0.976782654275893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,1,1,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,gender,women,0.98873065264332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sub-Saharan Africa (excluding high income),Lower middle income,gender,men,0.844194236475985,0.767801634871241,0.739847345353874,0.338811604776683,0.342719785485543,0.130988706371886,0.874955684049019,0.1250443159509807,0.452334640970833,0.216822089846484,0.206979880627503,0.36186845644525,0.303775395279071,0.17342047846215,0.0,0.143188255504689,0.843785706519859,Sub-Saharan Africa,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sub-Saharan Africa (excluding high income),Lower middle income,gender,women,0.783104466801133,0.718960837538574,0.609323964113829,0.186094585939894,0.250692009319038,0.0737584355816079,0.910987247135859,0.0890127528641413,0.36612209057813,0.222120674786211,0.129075583186643,0.229637630995635,0.16940576352043,0.0792882063058145,0.0,0.094139752147285,0.798292628812044,Sub-Saharan Africa,0,0,0,0,0,0,0,0,0,0,0,0,1,0
High income,High income,gender,men,0.932644888438885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,1,1,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,gender,women,0.840948713682466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Latin America & Caribbean (excluding high income),Upper middle income,gender,men,0.446496505663004,0.39201166265586,0.125020538071215,0.119445094511555,0.0,0.0,0.863053963791652,0.1369460362083479,0.536817578551445,0.365861307449742,0.0,0.217760285831559,0.0,0.0,0.0,0.0,0.388966076776449,Latin America & Caribbean,0,0,1,1,0,0,0,0,1,0,1,1,1,1
Latin America & Caribbean (excluding high income),Upper middle income,gender,women,0.325013354493048,0.431140904999311,0.0932116866471297,0.0876361650207176,0.0,0.0,0.831499573061626,0.168500426938373,0.562021221438353,0.42516867402424,0.0,0.0655981992990265,0.0,0.0,0.0,0.0,0.295516461803829,Latin America & Caribbean,0,0,1,1,0,0,0,0,1,0,1,1,1,1
Sub-Saharan Africa (excluding high income),Low income,gender,men,0.408599709353785,0.751695939032314,0.272148895077669,0.0,0.121308619502703,0.0,0.92992014184432,0.0,0.16534693766897,0.0,0.0,0.132142927418366,0.0,0.0,0.0,0.139113107906481,0.530166785660636,Sub-Saharan Africa,0,1,0,1,0,1,0,1,1,0,1,1,1,0
Sub-Saharan Africa (excluding high income),Low income,gender,women,0.312380546293167,0.759529285142179,0.194503011480827,0.0,0.0955137409659014,0.0,0.897222112501216,0.0,0.179485723929516,0.0,0.0,0.0741503310601513,0.0,0.0,0.0,0.0865923948549435,0.498232010180837,Sub-Saharan Africa,0,1,0,1,0,1,0,1,1,0,1,1,1,0
Latin America & Caribbean (excluding high income),Lower middle income,gender,men,0.527899759195543,0.511431684354622,0.234542051927633,0.18483747963203,0.122185947549868,0.0,0.933247121628739,0.066752878371261,0.46527878231384,0.278712647431823,0.0,0.360143007428812,0.0,0.0,0.0,0.0,0.487141791550105,Latin America & Caribbean,0,0,0,1,0,0,0,0,1,0,1,1,1,1
Latin America & Caribbean (excluding high income),Lower middle income,gender,women,0.340839092123123,0.480008364044956,0.138491117117621,0.118750574644928,0.0924657120135373,0.0,0.866703150471057,0.1332968495289432,0.457869935173746,0.306533027947436,0.0,0.14199956352526,0.0,0.0,0.0,0.0,0.35202472088041,Latin America & Caribbean,0,0,0,1,0,0,0,0,1,0,1,1,1,1
High income,High income,gender,men,0.979944921224797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,1,1,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,gender,women,0.967510977577504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,1,1,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,gender,men,0.905416666845822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,1,1,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,gender,women,0.83709713865767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,1,1,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,gender,men,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,1,1,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,gender,women,0.997045440269947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Asia (excluding high income),Lower middle income,gender,men,0.888052472379392,0.674181043984113,0.310912527471952,0.263804042639407,0.181226950259023,0.170604337358012,0.96089701282477,0.0,0.434714105780042,0.269156041455591,0.175127101307305,0.467498838226259,0.199223271014095,0.158483229385611,0.178132352101602,0.236336533757035,0.417246075361983,South Asia,0,0,0,0,0,1,0,0,0,0,0,0,0,0
South Asia (excluding high income),Lower middle income,gender,women,0.892482328079147,0.591820259984199,0.228092976617973,0.212734392838199,0.119985191312027,0.118834937168412,0.942619844211329,0.0,0.321105195230427,0.232393772556242,0.0635005126400196,0.259216992880763,0.0692902110894142,0.0640921243414498,0.23408331214046,0.295535484186778,0.355151661372114,South Asia,0,0,0,0,0,1,0,0,0,0,0,0,0,0
East Asia & Pacific (excluding high income),Lower middle income,gender,men,0.546388118836053,0.498618074189172,0.292100369594943,0.236084697234193,0.152904398204537,0.143602532852977,0.962915892313805,0.0,0.703548342957801,0.542289015396214,0.0,0.493267645148832,0.175190994580039,0.162971675133575,0.134058917943381,0.297725997080241,0.495550018531088,East Asia & Pacific,0,0,0,0,0,1,0,0,1,0,0,0,0,0
East Asia & Pacific (excluding high income),Lower middle income,gender,women,0.580308451514518,0.453919194687766,0.253147673192768,0.215256755484291,0.149537074127169,0.143637441065443,0.944078384520519,0.0,0.719051262406644,0.555356432220489,0.0,0.268899548608538,0.0967472103214458,0.0951005053937913,0.140249561183543,0.281444924102599,0.564629137527785,East Asia & Pacific,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Middle East & North Africa (excluding high income),Lower middle income,gender,men,0.953254505893739,0.686146685302643,0.366097073069162,0.355043229846923,0.276895436926822,0.265573309224593,0.97062784523437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.506149853053961,Middle East & North Africa,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Middle East & North Africa (excluding high income),Lower middle income,gender,women,0.867880629225257,0.65649487187917,0.214104539860208,0.204805883542375,0.19758844585995,0.192002646736609,0.963501320890455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.460822526709523,Middle East & North Africa,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Middle East & North Africa (excluding high income),Upper middle income,gender,men,0.407785224794308,0.780473851362436,0.131388252734962,0.0,0.169196785853084,0.153991352928163,0.961689337964549,0.0,0.486247025312517,0.433261619626157,0.0,0.504273665092468,0.154707274381447,0.0,0.150547586374939,0.282256557081491,0.461723829406043,Middle East & North Africa,0,1,0,0,0,1,0,0,1,0,0,1,0,0
Middle East & North Africa (excluding high income),Upper middle income,gender,women,0.188101424848699,0.675394265707766,0.0709315710542387,0.0,0.0597029685847156,0.0597029685847156,0.957696110374009,0.0,0.232435488015666,0.204229410579924,0.0,0.132402487932026,0.051333108363932,0.0,0.0728564498731288,0.129267086796855,0.403213482134711,Middle East & North Africa,0,1,0,0,0,1,0,0,1,0,0,1,0,0
High income,High income,gender,men,0.996508190397291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,1,1,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,gender,women,0.969297997806724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,1,1,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,gender,men,0.904755385428348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,1,1,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,gender,women,0.880997205658934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,1,1,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,gender,men,0.926338802740803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,1,1,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,gender,women,0.797946783289735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,1,1,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,gender,men,0.983131609217015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,1,1,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,gender,women,0.98723135316154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Middle East & North Africa (excluding high income),Upper middle income,gender,men,0.559196759817473,0.713943456316723,0.144105971010029,0.0,0.145543178832006,0.138544492845667,0.902467558065226,0.0975324419347746,0.511679577360068,0.299452583466759,0.0,0.43204603626606,0.199560732116926,0.172801041590059,0.209847131499961,0.248803860902905,0.301983959257362,Middle East & North Africa,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Middle East & North Africa (excluding high income),Upper middle income,gender,women,0.362234645848992,0.585333229765556,0.0742714533044688,0.0,0.106768227291075,0.105093920384203,0.889143035038131,0.110856964961869,0.227976646365378,0.142597483816714,0.0,0.0927035988657673,0.0390997781999326,0.0355712162386949,0.106357911490385,0.142058047216569,0.331274907287446,Middle East & North Africa,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Europe & Central Asia (excluding high income),Upper middle income,gender,men,0.885002867646321,0.658985029417505,0.42237027109397,0.306711733421621,0.356303285356801,0.356303285356801,0.855277213814118,0.1447227861858821,0.410341247811122,0.0,0.48041867935896,0.666424295966317,0.58946228225146,0.485828688197831,0.249449703736993,0.288333119845494,0.567637068898508,Europe & Central Asia,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Europe & Central Asia (excluding high income),Upper middle income,gender,women,0.857420594770372,0.600655589192245,0.336596551362096,0.243634659314949,0.302063861724608,0.302063861724608,0.794688223607742,0.2053117763922585,0.577318587645639,0.0,0.348588262463851,0.495089649448909,0.440737103602209,0.356104503688543,0.252289099663126,0.330075141334571,0.495346587653317,Europe & Central Asia,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Sub-Saharan Africa (excluding high income),Lower middle income,gender,men,0.938895090496553,0.85831039431392,0.59942550047354,0.255115230954635,0.455166672666537,0.166510487378116,0.979438723483058,0.0,0.574361538901515,0.0,0.270017233429162,0.387555978121509,0.337854274818093,0.1952880638731,0.130000242092576,0.225053001056784,0.725191115484173,Sub-Saharan Africa,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Sub-Saharan Africa (excluding high income),Lower middle income,gender,women,0.865155344015748,0.781099186194081,0.491445472724296,0.150212665849951,0.299255082160725,0.0875184811521251,0.953185469776307,0.0,0.469893555758802,0.0,0.159287490304997,0.255505275020348,0.202524736005723,0.0858310246316642,0.0742640769151611,0.121055400947398,0.679711171264877,Sub-Saharan Africa,0,0,0,0,0,1,0,1,0,0,0,0,0,0
High income,High income,gender,men,0.966472206696843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,1,1,1,1,1,1,1,1,1,1,1,1,1,1
High income,High income,gender,women,0.971396146066269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High income countries,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Europe & Central Asia (excluding high income),Upper middle income,gender,men,0.687587019450215,0.448530460155414,0.161451970970528,0.161451970970528,0.0,0.0,0.990616695309679,0.0,0.561651911953969,0.404108133323807,0.162815222464922,0.321730487468632,0.229001044897789,0.219387386372624,0.251998898027986,0.338469076931976,0.339663144077642,Europe & Central Asia,0,0,1,1,0,1,0,0,0,0,0,0,0,0
