region,income_group,demo_group,demo_subgroup,has_account,borrowed_any,credit_card,biz_loan_source,biz_loan,loan_purpose_group,loan_purpose,saved_old_age,saved_for_purchase,saved_no_purpose,mobile_pay_s_r,digital_payment_other,mobile_payment,mobile_payment_bill,govt_digital_pay,govt_digital_pay_acc,digital_pay,digital_pay_acc,govt_payment_recv,fin_resilience,emergency_funds,prefer_digital_acc,prefer_digital_fin,prefer_digital,saved_any,region_clean
South Asia (excluding high income),Lower middle income,all,all,0.317436490922018,0.5792186425933912,0.04404200298325317,0.166367944887885,0.166367944887885,0.11592390077074578,0.1151531141975503,0.4799234918984357,0.6331511572588739,0.3668488427411258,0.023243875059801133,0.3679148409545037,0.013847718248999247,0.33115647381123,0.021233331591754084,0.024648903681585704,0.19889674986695335,0.04136253200307896,0.03723326760414161,0.12594479834376202,0.009480786844122735,0.07549133370749209,0.0372023032052424,0.14778331336742107,0.4685464353798072,South Asia
Europe & Central Asia (excluding high income),Upper middle income,all,all,0.586019794713688,0.46137255515061004,0.19147217688108437,0.06808210266509929,0.06808210266509929,0.14401397278692818,0.14108807208628404,0.6078247915965216,0.8550621577170571,0.1449378422829432,0.16455085579584205,0.6761326598596706,0.15063173204456182,0.46016052553649717,0.18193643047222344,0.19678941621672721,0.38611171821061746,0.27478945607444266,0.2570971851150816,0.2941280585333503,0.0776586788531367,0.18255568776631043,0.1657859161833814,0.36296182090202456,0.40869593541071925,Europe & Central Asia
High income,High income,all,all,0.963061274021685,0.6072368170810887,0.46154087556257206,0.425753521438096,0.425753521438096,0.5166207130964343,0.5166207130964343,0.7676272341338688,0.6775213015613869,0.322478698438613,0.5167719825036023,0.7601668819763918,0.5142949510517728,0.1874855958147999,0.290718820238918,0.29673368979579023,0.45553112795293615,0.3853540133958355,0.3795936317900968,0.43224217516080365,0.54333329808583,0.4292228124130376,0.295814625458675,0.5089303692122814,0.7111139275915965,High income countries
Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.104639370332736,0.5135847332220056,0.05547975518875542,0.070161602909638,0.07016160290963797,0.044508331440877236,0.04450833144087721,0.4444900312502057,0.4851970085484856,0.5148029914515146,0.011855219098446224,0.1987604401850921,0.003937778635802164,0.18073142891532215,0.013499662690358155,0.016014433795801947,0.14353962148758875,0.036623143965415134,0.032795959375920114,0.07052333812594808,0.004685278619743688,0.05256846342871441,0.0239253756623119,0.09504563940896305,0.5971175655773049,Sub-Saharan Africa
Latin America & Caribbean (excluding high income),Lower middle income,all,all,0.280291327715447,0.46222890104458914,0.05312090447361989,0.170694121907399,0.170694121907399,0.10561737140871524,0.10350859566600097,0.5168440279218303,0.5859129055720642,0.4140870944279358,0.10466043500886671,0.3952071289196461,0.08754361215257625,0.27056408218958,0.04501590425122276,0.050327755968729015,0.203346335758823,0.08235615576445601,0.07479836439974957,0.10777953951894803,0.041355269381005005,0.07129752561032288,0.05160674539099913,0.14972531079934473,0.47812004933995117,Latin America & Caribbean
Europe & Central Asia (excluding high income),Upper middle income,all,all,0.56211608335604,0.4831931297429084,0.16199464789311835,0.060840449057295326,0.0608404490572953,0.22071324939311787,0.21671931301111785,0.5598987929123594,0.6406189383373051,0.35938106166269523,0.11430144471910442,0.5826094973674318,0.09344610965683844,0.4454175312163533,0.07193301190701434,0.11044737755104803,0.2960741178527757,0.18778903262061128,0.12800472900832247,0.26687592345357614,0.116923016855989,0.24469511745170158,0.15545596307526505,0.3241664023820908,0.28961632672581433,Europe & Central Asia
Sub-Saharan Africa (excluding high income),Upper middle income,all,all,0.302600142850791,0.4746147034245458,0.13033681492934468,0.164670000194884,0.164670000194884,0.09669617725011448,0.09539232181203645,0.45699660997695446,0.4337253053889442,0.566274694611056,0.0759993189608584,0.40037904836044497,0.03908071204305877,0.3000309929842702,0.048337267651105076,0.06237570569210493,0.27530083425021873,0.11861873156455002,0.1012473598228206,0.14798787689167575,0.10727639783885,0.13176516866146631,0.10583217078142346,0.19977966522605856,0.4746140008268978,Sub-Saharan Africa
Latin America & Caribbean (excluding high income),Upper middle income,all,all,0.55860384771673,0.4431460123559828,0.2286730402117374,0.102869255665551,0.102869255665551,0.29634509670017484,0.2930415510461174,0.5149591547799359,0.564943158772923,0.4350568412270772,0.18125310159997504,0.6420550885609434,0.1580934678325454,0.4460564756974875,0.14469209264775149,0.15175378604404471,0.361145357578677,0.21394844250996353,0.2041843614694004,0.22501823160533252,0.292395205296598,0.22449303234035686,0.17377008770883487,0.28902847905756107,0.3200003188322193,Latin America & Caribbean
Europe & Central Asia (excluding high income),Upper middle income,all,all,0.528249019127393,0.5210887762807249,0.16290776020037992,0.04800061211672191,0.04800061211672191,0.21553318702826962,0.21162395975589948,0.5321004724683996,0.7327940128463453,0.26720598715365496,0.14195517063082308,0.6332467731366391,0.12293895869505206,0.44942762472381526,0.08600332114635095,0.09705585107237277,0.28706239774026826,0.16821401199069003,0.14526174281999635,0.2475500476740416,0.104267170552731,0.21733680731765775,0.17572842561455276,0.3000405187335576,0.2905361358941778,Europe & Central Asia
Sub-Saharan Africa (excluding high income),Low income,all,all,0.133530920184137,0.4856215620610963,0.04025432674925128,0.07914826527073249,0.07914826527073249,0.05059411702378419,0.05059411702378419,0.3401308795170424,0.43916804394534104,0.560831956054659,0.01258594968929394,0.24755757986840504,0.006992032814679333,0.2310992468883238,0.012450618045915768,0.015209658720502367,0.14943650531524164,0.027818755948102958,0.024355442561972612,0.09613901713679227,0.008034161837190912,0.0473831161484623,0.01650570972412671,0.12144372063856546,0.4688659942093511,Sub-Saharan Africa
Sub-Saharan Africa (excluding high income),Low income,all,all,0.0723798460936825,0.5439183646012753,0.03132957750137566,0.0330660962333304,0.0330660962333304,0.02504050764050461,0.024216679308602634,0.3286117637171412,0.3834015542012588,0.616598445798741,0.009226528563608949,0.13113031895813743,0.004219052958664121,0.09390856441391454,0.00466909878862376,0.006226430221220408,0.166734229355451,0.015477459674253569,0.013364220743214528,0.07502106970829761,0.006035802882990299,0.02081492125162346,0.011746716972014293,0.09751393614262693,0.3601526468484093,Sub-Saharan Africa
East Asia & Pacific (excluding high income),Lower middle income,all,all,0.0365971165444537,0.560141213820144,0.051669968448556425,0.008087082353395725,0.008087082353395697,0.2396525756296148,0.23965257562961484,0.5925265302524665,0.6832577607925119,0.3167422392074881,0.05230015134177893,0.5215758156474841,0.04513289236204501,0.46642451280939734,0.017385221205524826,0.022678861333585015,0.2828205134537647,0.036744251887151386,0.02930111522666956,0.11807253561743788,0.0014268335845155078,0.03971385445030931,0.024276269367090708,0.1511321471942774,0.5004283376155947,East Asia & Pacific
Sub-Saharan Africa (excluding high income),Lower middle income,all,all,0.148096124143559,0.46533625025035247,0.04897483418791049,0.09940994655418428,0.09940994655418428,0.062225683698419576,0.06109739275246609,0.4963668500313175,0.4979898070087609,0.5020101929912393,0.01721234309656805,0.23703372363680164,0.01126282239234802,0.20063235161765494,0.022740063740329053,0.027996357882189182,0.16182077571935347,0.051218202544621894,0.04449379445760551,0.07235719371868524,0.0183738640705981,0.05259566071926877,0.03787383152777035,0.10185174705624539,0.5182522849392739,Sub-Saharan Africa
High income,High income,all,all,0.958046424525372,0.775594703557986,0.4876021433117628,0.532030785190891,0.532030785190891,0.7257722962872368,0.7257722962872368,0.799516556930217,0.8477871650912303,0.1522128349087697,0.5232187345491286,0.6921846000842719,0.5172333000946434,0.1350892056705027,0.3892112878742377,0.39374826018455594,0.5700638667482165,0.523660130206433,0.5192605095336471,0.32687738725410403,0.723271186897608,0.3418009189327194,0.34826184849007696,0.4107050720068562,0.6690284061845977,High income countries
Sub-Saharan Africa (excluding high income),Low income,all,all,0.0330080913421627,0.5575672849880366,0.02769933009832415,0.024745390977581383,0.02474539097758141,0.025767508211927637,0.024552664811054475,0.2876617758022043,0.5554071315627076,0.4445928684372922,0.014149036930095726,0.11824296195682243,0.007870987308073896,0.08138347930519285,0.004853995575145459,0.006190072131419311,0.13635031279168283,0.012964839648370752,0.010944875364024165,0.06639262870387361,0.006190367646992712,0.016031381775490405,0.008588909999308558,0.08589538129888846,0.3835600977585787,Sub-Saharan Africa
Sub-Saharan Africa (excluding high income),Low income,all,all,0.0895974560162476,0.4786920790579771,0.03838688968345866,0.06839304566577328,0.06839304566577331,0.06459509092541418,0.06188754761922646,0.3401066743095942,0.460928510773099,0.5390714892269011,0.0249341829484864,0.11289102103826226,0.019362397943445325,0.06872819687799944,0.010577517526847907,0.02208336319004281,0.1345379216582702,0.03852304309244883,0.02720076391512044,0.0855149147313489,0.05293595952865729,0.043268487541097245,0.02787434304258926,0.10480797287102,0.4501327281125464,Sub-Saharan Africa
High income,High income,all,all,0.421792854983892,0.4314747245323548,0.2161486713238851,0.124167452865345,0.124167452865345,0.25652176246716935,0.25637198125163646,0.5573903110331838,0.5331843872533727,0.4668156127466274,0.13633501341668883,0.6301054760778501,0.12542651043374792,0.4720195821778447,0.1316841956467094,0.15655606201822556,0.3541473617966998,0.21607768431213575,0.1826204039113174,0.17936517382995187,0.228493556829444,0.17877757690242832,0.1350962728941969,0.24058241993147253,0.371842523761036,High income countries
